zip_file,internal_csv_path,file_name,file_type,uncompressed_size_bytes,compressed_size_bytes,crc32
Oxford.zip,Oxford/OX_1-3_pouch_LCO_40C_0-100_2-1.84C_c_cycle_data.csv,OX_1-3_pouch_LCO_40C_0-100_2-1.84C_c_cycle_data.csv,cycle_data,5341,1753,7fb8b2cc
Oxford.zip,Oxford/OX_1-4_pouch_LCO_40C_0-100_2-1.84C_d_cycle_data.csv,OX_1-4_pouch_LCO_40C_0-100_2-1.84C_d_cycle_data.csv,cycle_data,3349,1149,245c632b
Oxford.zip,Oxford/OX_1-5_pouch_LCO_40C_0-100_2-1.84C_e_cycle_data.csv,OX_1-5_pouch_LCO_40C_0-100_2-1.84C_e_cycle_data.csv,cycle_data,3279,1126,822f57b7
Oxford.zip,Oxford/OX_1-6_pouch_LCO_40C_0-100_2-1.84C_f_cycle_data.csv,OX_1-6_pouch_LCO_40C_0-100_2-1.84C_f_cycle_data.csv,cycle_data,3287,1114,d2312af3
Oxford.zip,Oxford/OX_1-7_pouch_LCO_40C_0-100_2-1.84C_g_cycle_data.csv,OX_1-7_pouch_LCO_40C_0-100_2-1.84C_g_cycle_data.csv,cycle_data,5390,1751,ec84ff28
Oxford.zip,Oxford/OX_1-8_pouch_LCO_40C_0-100_2-1.84C_h_cycle_data.csv,OX_1-8_pouch_LCO_40C_0-100_2-1.84C_h_cycle_data.csv,cycle_data,5316,1736,670a28af
SNL LFP.zip,SNL LFP/SNL_18650_LFP_15C_0-100_0.5-1C_a_cycle_data.csv,SNL_18650_LFP_15C_0-100_0.5-1C_a_cycle_data.csv,cycle_data,534667,143504,3a34472d
SNL LFP.zip,SNL LFP/SNL_18650_LFP_15C_0-100_0.5-1C_b_cycle_data.csv,SNL_18650_LFP_15C_0-100_0.5-1C_b_cycle_data.csv,cycle_data,422357,112438,baa3c59c
SNL LFP.zip,SNL LFP/SNL_18650_LFP_15C_0-100_0.5-2C_a_cycle_data.csv,SNL_18650_LFP_15C_0-100_0.5-2C_a_cycle_data.csv,cycle_data,445538,119253,e79b07b8
SNL LFP.zip,SNL LFP/SNL_18650_LFP_15C_0-100_0.5-2C_b_cycle_data.csv,SNL_18650_LFP_15C_0-100_0.5-2C_b_cycle_data.csv,cycle_data,441873,119816,d5f7d79f
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-0.5C_a_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-0.5C_a_cycle_data.csv,cycle_data,365064,97712,a59b8e83
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-1C_a_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-1C_a_cycle_data.csv,cycle_data,422541,113756,7d8c8c22
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-1C_b_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-1C_b_cycle_data.csv,cycle_data,418632,113652,ce01b9fe
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-1C_c_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-1C_c_cycle_data.csv,cycle_data,359351,96828,3b858103
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-1C_d_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-1C_d_cycle_data.csv,cycle_data,361248,97278,8a11f284
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-2C_a_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-2C_a_cycle_data.csv,cycle_data,422168,114123,603f8f6f
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-2C_b_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-2C_b_cycle_data.csv,cycle_data,480042,129982,10043706
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-3C_a_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-3C_a_cycle_data.csv,cycle_data,538619,148421,5e75336a
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-3C_b_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-3C_b_cycle_data.csv,cycle_data,475778,132976,036f088b
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-3C_c_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-3C_c_cycle_data.csv,cycle_data,415313,117062,7f81f1ab
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_0-100_0.5-3C_d_cycle_data.csv,SNL_18650_LFP_25C_0-100_0.5-3C_d_cycle_data.csv,cycle_data,479122,132215,cf2cb09f
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_20-80_0.5-0.5C_a_cycle_data.csv,SNL_18650_LFP_25C_20-80_0.5-0.5C_a_cycle_data.csv,cycle_data,890741,237604,2210c263
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_20-80_0.5-0.5C_b_cycle_data.csv,SNL_18650_LFP_25C_20-80_0.5-0.5C_b_cycle_data.csv,cycle_data,901315,238609,df1e06a3
SNL LFP.zip,SNL LFP/SNL_18650_LFP_25C_20-80_0.5-0.5C_c_cycle_data.csv,SNL_18650_LFP_25C_20-80_0.5-0.5C_c_cycle_data.csv,cycle_data,720033,188687,a163bcb9
