zip_file,internal_csv_path,file_name,schema_fingerprint,raw_row_count,normalized_row_count,dropped_blank_row_count,invalid_cycle_index_count,invalid_charge_capacity_count,invalid_discharge_capacity_count,invalid_charge_energy_count,invalid_discharge_energy_count,metadata_join_status,load_status,load_message
Michigan Formation.zip,Michigan Formation/MICH_BLForm4_pouch_NMC_45C_0-100_1-1C_d_cycle_data.csv,MICH_BLForm4_pouch_NMC_45C_0-100_1-1C_d_cycle_data.csv,schema_63d0cb98b657,520,520,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm5_pouch_NMC_45C_0-100_1-1C_e_cycle_data.csv,MICH_BLForm5_pouch_NMC_45C_0-100_1-1C_e_cycle_data.csv,schema_63d0cb98b657,519,519,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm6_pouch_NMC_45C_0-100_1-1C_f_cycle_data.csv,MICH_BLForm6_pouch_NMC_45C_0-100_1-1C_f_cycle_data.csv,schema_63d0cb98b657,513,513,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm7_pouch_NMC_45C_0-100_1-1C_g_cycle_data.csv,MICH_BLForm7_pouch_NMC_45C_0-100_1-1C_g_cycle_data.csv,schema_63d0cb98b657,506,506,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm8_pouch_NMC_45C_0-100_1-1C_h_cycle_data.csv,MICH_BLForm8_pouch_NMC_45C_0-100_1-1C_h_cycle_data.csv,schema_63d0cb98b657,520,520,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_BLForm9_pouch_NMC_45C_0-100_1-1C_i_cycle_data.csv,MICH_BLForm9_pouch_NMC_45C_0-100_1-1C_i_cycle_data.csv,schema_63d0cb98b657,641,641,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm21_pouch_NMC_25C_0-100_1-1C_a_cycle_data.csv,MICH_MCForm21_pouch_NMC_25C_0-100_1-1C_a_cycle_data.csv,schema_63d0cb98b657,506,506,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm22_pouch_NMC_25C_0-100_1-1C_b_cycle_data.csv,MICH_MCForm22_pouch_NMC_25C_0-100_1-1C_b_cycle_data.csv,schema_63d0cb98b657,522,522,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm23_pouch_NMC_25C_0-100_1-1C_c_cycle_data.csv,MICH_MCForm23_pouch_NMC_25C_0-100_1-1C_c_cycle_data.csv,schema_63d0cb98b657,576,576,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm24_pouch_NMC_25C_0-100_1-1C_d_cycle_data.csv,MICH_MCForm24_pouch_NMC_25C_0-100_1-1C_d_cycle_data.csv,schema_63d0cb98b657,506,506,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm25_pouch_NMC_25C_0-100_1-1C_e_cycle_data.csv,MICH_MCForm25_pouch_NMC_25C_0-100_1-1C_e_cycle_data.csv,schema_63d0cb98b657,629,629,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm26_pouch_NMC_25C_0-100_1-1C_f_cycle_data.csv,MICH_MCForm26_pouch_NMC_25C_0-100_1-1C_f_cycle_data.csv,schema_63d0cb98b657,627,627,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm27_pouch_NMC_25C_0-100_1-1C_g_cycle_data.csv,MICH_MCForm27_pouch_NMC_25C_0-100_1-1C_g_cycle_data.csv,schema_63d0cb98b657,576,576,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm28_pouch_NMC_25C_0-100_1-1C_h_cycle_data.csv,MICH_MCForm28_pouch_NMC_25C_0-100_1-1C_h_cycle_data.csv,schema_63d0cb98b657,629,629,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm29_pouch_NMC_25C_0-100_1-1C_i_cycle_data.csv,MICH_MCForm29_pouch_NMC_25C_0-100_1-1C_i_cycle_data.csv,schema_63d0cb98b657,590,590,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm30_pouch_NMC_25C_0-100_1-1C_j_cycle_data.csv,MICH_MCForm30_pouch_NMC_25C_0-100_1-1C_j_cycle_data.csv,schema_63d0cb98b657,576,576,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm31_pouch_NMC_45C_0-100_1-1C_a_cycle_data.csv,MICH_MCForm31_pouch_NMC_45C_0-100_1-1C_a_cycle_data.csv,schema_63d0cb98b657,540,540,0,0,0,0,0,0,matched,success,
Michigan Formation.zip,Michigan Formation/MICH_MCForm32_pouch_NMC_45C_0-100_1-1C_b_cycle_data.csv,MICH_MCForm32_pouch_NMC_45C_0-100_1-1C_b_cycle_data.csv,schema_63d0cb98b657,521,521,0,0,0,0,0,0,matched,success,
