summary_type,model_name,split_id,stratum,row_count,failure_count,failure_rate,false_negative_count,false_positive_count,precision,recall,average_precision,mcc,score_min,score_median,score_max,row_missing_rate_median,retained_feature_count_median,timestamp_start,timestamp_end,status,predicted_positive_rate
temporal_block,dummy_prior,stratified_random_reference_80_20,1,66,2,0.030303030303030304,2,0,,0.0,0.030303030303030304,,0.06624102154828412,0.06624102154828412,0.06624102154828412,0.03389830508474576,474.0,2008-09-10 21:56:00,2008-09-27 00:16:00,descriptive,
temporal_block,dummy_prior,stratified_random_reference_80_20,2,40,3,0.075,3,0,,0.0,0.075,,0.06624102154828412,0.06624102154828412,0.06624102154828412,0.02711864406779661,474.0,2008-09-27 11:04:00,2008-10-05 01:35:00,descriptive,
temporal_block,dummy_prior,stratified_random_reference_80_20,3,61,0,0.0,0,0,,,,,0.06624102154828412,0.06624102154828412,0.06624102154828412,0.03389830508474576,474.0,2008-10-05 05:31:00,2008-10-17 06:01:00,descriptive,
missingness_quantile,dummy_prior,stratified_random_reference_80_20,0,86,3,0.03488372093023256,3,0,,0.0,0.03488372093023256,,0.06624102154828412,0.06624102154828412,0.06624102154828412,0.020338983050847456,474.0,2008-09-10 21:56:00,2008-10-15 22:45:00,descriptive,
missingness_quantile,dummy_prior,stratified_random_reference_80_20,1,42,5,0.11904761904761904,5,0,,0.0,0.11904761904761904,,0.06624102154828412,0.06624102154828412,0.06624102154828412,0.03389830508474576,474.0,2008-07-27 22:28:00,2008-10-13 19:40:00,descriptive,
missingness_quantile,dummy_prior,stratified_random_reference_80_20,2,94,7,0.07446808510638298,7,0,,0.0,0.07446808510638298,,0.06624102154828412,0.06624102154828412,0.06624102154828412,0.04745762711864407,474.0,2008-07-19 21:35:00,2008-10-15 09:11:00,descriptive,
missingness_quantile,dummy_prior,stratified_random_reference_80_20,3,92,6,0.06521739130434782,6,0,,0.0,0.06521739130434782,,0.06624102154828412,0.06624102154828412,0.06624102154828412,0.061016949152542375,474.0,2008-07-19 12:32:00,2008-10-17 06:01:00,descriptive,
threshold_sensitivity,dummy_prior,stratified_random_reference_80_20,threshold=0.2,314,21,,21,0,,0.0,,,,0.06624102154828412,,,,,,descriptive,0.0
threshold_sensitivity,dummy_prior,stratified_random_reference_80_20,threshold=0.5,314,21,,21,0,,0.0,,,,0.06624102154828412,,,,,,descriptive,0.0
threshold_sensitivity,dummy_prior,stratified_random_reference_80_20,threshold=0.8,314,21,,21,0,,0.0,,,,0.06624102154828412,,,,,,descriptive,0.0
all,hist_gradient_boosting_balanced,blocked_chronological_fold_1,all,313,21,0.0670926517571885,17,65,0.057971014492753624,0.19047619047619047,0.11881599912556653,-0.019388566230851452,0.19798110409100908,0.3562011540206096,0.7059219640558596,0.05423728813559322,448.0,2008-08-19 18:30:00,2008-09-01 06:21:00,descriptive,
temporal_block,hist_gradient_boosting_balanced,blocked_chronological_fold_1,0,313,21,0.0670926517571885,17,65,0.057971014492753624,0.19047619047619047,0.11881599912556653,-0.019388566230851452,0.19798110409100908,0.3562011540206096,0.7059219640558596,0.05423728813559322,448.0,2008-08-19 18:30:00,2008-09-01 06:21:00,descriptive,
missingness_quantile,hist_gradient_boosting_balanced,blocked_chronological_fold_1,0,2,0,0.0,0,0,,,,,0.30526131775307985,0.32685256053771644,0.34844380332235303,0.02711864406779661,448.0,2008-08-19 18:30:00,2008-08-21 20:21:00,descriptive,
missingness_quantile,hist_gradient_boosting_balanced,blocked_chronological_fold_1,1,24,0,0.0,0,6,0.0,,,,0.22675184413132898,0.32488039224070925,0.6343174564688033,0.03389830508474576,448.0,2008-08-20 01:33:00,2008-08-30 15:37:00,descriptive,
missingness_quantile,hist_gradient_boosting_balanced,blocked_chronological_fold_1,2,111,10,0.09009009009009009,9,22,0.043478260869565216,0.1,0.17891749963709194,-0.08323021575027849,0.22100783844189661,0.34765132820884737,0.655853151187748,0.04067796610169491,448.0,2008-08-19 19:38:00,2008-09-01 06:21:00,descriptive,
missingness_quantile,hist_gradient_boosting_balanced,blocked_chronological_fold_1,3,176,11,0.0625,8,37,0.075,0.2727272727272727,0.14242165738311383,0.028005601680560193,0.19798110409100908,0.3747789209141092,0.7059219640558596,0.061016949152542375,448.0,2008-08-19 18:30:00,2008-09-01 05:32:00,descriptive,
threshold_sensitivity,hist_gradient_boosting_balanced,blocked_chronological_fold_1,threshold=0.2,313,21,,0,291,0.0673076923076923,1.0,,,,0.3562011540206096,,,,,,descriptive,0.9968051118210862
threshold_sensitivity,hist_gradient_boosting_balanced,blocked_chronological_fold_1,threshold=0.5,313,21,,17,65,0.057971014492753624,0.19047619047619047,,,,0.3562011540206096,,,,,,descriptive,0.22044728434504793
threshold_sensitivity,hist_gradient_boosting_balanced,blocked_chronological_fold_1,threshold=0.8,313,21,,21,0,,0.0,,,,0.3562011540206096,,,,,,descriptive,0.0
all,hist_gradient_boosting_balanced,blocked_chronological_fold_2,all,314,11,0.03503184713375796,11,5,0.0,0.0,0.05560059949080703,-0.02423710759383534,0.20539781543316332,0.29498910702113823,0.6176224123171957,0.04745762711864407,452.0,2008-09-01 06:52:00,2008-09-20 05:34:00,descriptive,
temporal_block,hist_gradient_boosting_balanced,blocked_chronological_fold_2,0,148,2,0.013513513513513514,2,0,,0.0,0.03175675675675676,,0.20539781543316332,0.2895329383524527,0.45831133140840197,0.05084745762711865,452.0,2008-09-01 06:52:00,2008-09-10 09:21:00,descriptive,
temporal_block,hist_gradient_boosting_balanced,blocked_chronological_fold_2,1,166,9,0.05421686746987952,9,5,0.0,0.0,0.07543299534450507,-0.04219329991714899,0.20745064939522448,0.2997680605719053,0.6176224123171957,0.04067796610169491,452.0,2008-09-10 20:52:00,2008-09-20 05:34:00,descriptive,
missingness_quantile,hist_gradient_boosting_balanced,blocked_chronological_fold_2,0,52,4,0.07692307692307693,4,0,,0.0,0.1625,,0.20775684249284418,0.2951594366711666,0.4428293152660949,0.020338983050847456,452.0,2008-09-10 09:21:00,2008-09-20 05:25:00,descriptive,
missingness_quantile,hist_gradient_boosting_balanced,blocked_chronological_fold_2,1,19,1,0.05263157894736842,1,0,,0.0,0.08333333333333333,,0.20816965240108762,0.29118813372360924,0.4865737632231414,0.03389830508474576,452.0,2008-09-02 01:36:00,2008-09-20 03:58:00,descriptive,
missingness_quantile,hist_gradient_boosting_balanced,blocked_chronological_fold_2,2,126,2,0.015873015873015872,2,1,0.0,0.0,0.029857397504456328,-0.011359236684941296,0.20816965240108762,0.28329147157908163,0.5180875088637974,0.04745762711864407,452.0,2008-09-01 09:06:00,2008-09-20 05:34:00,descriptive,
missingness_quantile,hist_gradient_boosting_balanced,blocked_chronological_fold_2,3,117,4,0.03418803418803419,4,4,0.0,0.0,0.08703340310483168,-0.035398230088495575,0.20539781543316332,0.3122600795566894,0.6176224123171957,0.06779661016949153,452.0,2008-09-01 06:52:00,2008-09-19 21:14:00,descriptive,
threshold_sensitivity,hist_gradient_boosting_balanced,blocked_chronological_fold_2,threshold=0.2,314,11,,0,303,0.03503184713375796,1.0,,,,0.29498910702113823,,,,,,descriptive,1.0
threshold_sensitivity,hist_gradient_boosting_balanced,blocked_chronological_fold_2,threshold=0.5,314,11,,11,5,0.0,0.0,,,,0.29498910702113823,,,,,,descriptive,0.01592356687898089
threshold_sensitivity,hist_gradient_boosting_balanced,blocked_chronological_fold_2,threshold=0.8,314,11,,11,0,,0.0,,,,0.29498910702113823,,,,,,descriptive,0.0
all,hist_gradient_boosting_balanced,blocked_chronological_fold_3,all,313,11,0.03514376996805112,11,5,0.0,0.0,0.07248656837993243,-0.02431658119673581,0.20241450610487347,0.24646932740059949,0.612723681982401,0.02711864406779661,468.0,2008-09-20 06:08:00,2008-10-02 19:25:00,descriptive,
temporal_block,hist_gradient_boosting_balanced,blocked_chronological_fold_3,1,177,2,0.011299435028248588,2,1,0.0,0.0,0.013513513513513514,-0.008058229640253803,0.20241450610487347,0.2458024037376903,0.612723681982401,0.03389830508474576,468.0,2008-09-20 06:08:00,2008-09-27 00:16:00,descriptive,
temporal_block,hist_gradient_boosting_balanced,blocked_chronological_fold_3,2,136,9,0.0661764705882353,9,4,0.0,0.0,0.14359303958123498,-0.04634068234685616,0.2116790481355917,0.2588328790309378,0.5646670267872278,0.02711864406779661,468.0,2008-09-27 00:17:00,2008-10-02 19:25:00,descriptive,
missingness_quantile,hist_gradient_boosting_balanced,blocked_chronological_fold_3,0,161,5,0.031055900621118012,5,3,0.0,0.0,0.07907753288496341,-0.02466918414831204,0.2116790481355917,0.24618331348718442,0.5646670267872278,0.020338983050847456,468.0,2008-09-20 11:18:00,2008-10-02 19:25:00,descriptive,
missingness_quantile,hist_gradient_boosting_balanced,blocked_chronological_fold_3,1,50,4,0.08,4,1,0.0,0.0,0.15128418329637844,-0.04212627318711346,0.2121640345851656,0.2540543791107268,0.612723681982401,0.03389830508474576,468.0,2008-09-20 06:08:00,2008-10-02 17:19:00,descriptive,
missingness_quantile,hist_gradient_boosting_balanced,blocked_chronological_fold_3,2,69,2,0.028985507246376812,2,0,,0.0,0.5169491525423728,,0.20241450610487347,0.25424897245875955,0.46206256843107624,0.04745762711864407,468.0,2008-09-20 07:21:00,2008-10-02 10:03:00,descriptive,
missingness_quantile,hist_gradient_boosting_balanced,blocked_chronological_fold_3,3,33,0,0.0,0,1,0.0,,,,0.2120219439733668,0.2388405574219184,0.502012158496502,0.05423728813559322,468.0,2008-09-20 12:36:00,2008-10-02 08:57:00,descriptive,
threshold_sensitivity,hist_gradient_boosting_balanced,blocked_chronological_fold_3,threshold=0.2,313,11,,0,302,0.03514376996805112,1.0,,,,0.24646932740059949,,,,,,descriptive,1.0
threshold_sensitivity,hist_gradient_boosting_balanced,blocked_chronological_fold_3,threshold=0.5,313,11,,11,5,0.0,0.0,,,,0.24646932740059949,,,,,,descriptive,0.01597444089456869
threshold_sensitivity,hist_gradient_boosting_balanced,blocked_chronological_fold_3,threshold=0.8,313,11,,11,0,,0.0,,,,0.24646932740059949,,,,,,descriptive,0.0
