reduced_formula_group,row_count,unique_material_id_count,unique_descriptor_vector_count,target_min,target_median,target_max,target_range,target_mean,target_std,target_mad,target_zero_count,mixed_zero_positive_status,theoretical_false_count,theoretical_true_count,polymorph_count,ambiguity_flag
Fe2Si2BiO9,2,2,1,0.0788594402380935,0.07985807845237855,0.0808567166666636,0.0019972764285700884,0.07985807845237855,0.0009986382142850442,0.0009986382142850442,0,not_mixed,1,1,2,True
BaTiFe2(SiO5)2,2,2,1,0.1075599950390611,0.1085496308984366,0.1095392667578121,0.001979271718751008,0.1085496308984366,0.000989635859375504,0.000989635859375504,0,not_mixed,2,0,2,True
Li7Sc9Fe(SiO3)20,2,2,1,0.0438429916426095,0.0447155806116823,0.0455881695807551,0.0017451779381456034,0.0447155806116823,0.0008725889690728017,0.0008725889690728017,0,not_mixed,0,2,2,True
Ca8Al11Fe(Si3O13)4,2,2,1,0.0632156497321423,0.06403860461309516,0.064861559494048,0.0016459097619056923,0.06403860461309516,0.0008229548809528461,0.0008229548809528461,0,not_mixed,0,2,2,True
NaLi3Fe4(SiO3)8,4,4,1,0.0104288534374914,0.01099308993749035,0.0116627886874907,0.0012339352499992993,0.0110194554999907,0.0005150858386910612,0.0004748534999996501,0,not_mixed,0,4,4,True
Mg3Fe(SiO4)2,2,2,1,0.001083945714285,0.00160853410714205,0.0021331224999991,0.0010491767857141,0.00160853410714205,0.00052458839285705,0.00052458839285705,0,not_mixed,0,2,2,True
ZnFeSiO5,2,2,1,0.1268446132812499,0.12703955109375004,0.1272344889062502,0.0003898756250002855,0.12703955109375004,0.00019493781250014275,0.00019493781250014275,0,not_mixed,0,2,2,True
Fe2Si2SbO9,2,2,1,0.1560637316369071,0.15613294485119275,0.1562021580654784,0.00013842642857131437,0.15613294485119275,6.921321428565719e-05,6.921321428565719e-05,0,not_mixed,1,1,2,True
Li4ScFe3(SiO3)8,2,2,1,0.0097388864791607,0.00979232916665965,0.0098457718541586,0.00010688537499790006,0.00979232916665965,5.344268749895003e-05,5.344268749895003e-05,0,not_mixed,0,2,2,True
TiFeSi,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,not_mixed,1,1,2,False
Al2(FeSi)3,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,not_mixed,1,0,1,False
Al2Fe(SiO5)2,1,1,1,0.1997617869444425,0.1997617869444425,0.1997617869444425,0.0,0.1997617869444425,0.0,0.0,0,not_mixed,1,0,1,False
Al2Fe3(SiO4)3,1,1,1,0.0244395584999992,0.0244395584999992,0.0244395584999992,0.0,0.0244395584999992,0.0,0.0,0,not_mixed,1,0,1,False
Al2Fe3Si4,1,1,1,0.0100813761449254,0.0100813761449254,0.0100813761449254,0.0,0.0100813761449254,0.0,0.0,0,not_mixed,1,0,1,False
Al2FeSiO5,1,1,1,0.5811341779166783,0.5811341779166783,0.5811341779166783,0.0,0.5811341779166783,0.0,0.0,0,not_mixed,0,1,1,False
Al3Fe2Si,1,1,1,0.0003526958571393,0.0003526958571393,0.0003526958571393,0.0,0.0003526958571393,0.0,0.0,0,not_mixed,1,0,1,False
Al3Fe2Si3,1,1,1,0.0068518115035391,0.0068518115035391,0.0068518115035391,0.0,0.0068518115035391,0.0,0.0,0,not_mixed,1,0,1,False
Al3FeSiBO9,1,1,1,0.1180647999444453,0.1180647999444453,0.1180647999444453,0.0,0.1180647999444453,0.0,0.0,0,not_mixed,0,1,1,False
Al4Fe(SiO6)2,1,1,1,0.0880971261842091,0.0880971261842091,0.0880971261842091,0.0,0.0880971261842091,0.0,0.0,0,not_mixed,1,0,1,False
Al4Fe13Si2(SbO14)2,1,1,1,0.2085675489285678,0.2085675489285678,0.2085675489285678,0.0,0.2085675489285678,0.0,0.0,0,not_mixed,0,1,1,False
Al4Fe2Si5O18,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,not_mixed,1,0,1,False
Al53Fe17Si12,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,not_mixed,0,1,1,False
Al79(Fe13Si9)2,1,1,1,0.0001753438826446,0.0001753438826446,0.0001753438826446,0.0,0.0001753438826446,0.0,0.0,0,not_mixed,0,1,1,False
Al9Fe2(SiO6)4,1,1,1,0.0362902699679565,0.0362902699679565,0.0362902699679565,0.0,0.0362902699679565,0.0,0.0,0,not_mixed,0,1,1,False
Al9Fe2Si4HO24,1,1,1,0.0631393143125134,0.0631393143125134,0.0631393143125134,0.0,0.0631393143125134,0.0,0.0,0,not_mixed,1,0,1,False
AlFe2Si,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,not_mixed,0,1,1,False
AlFe3(SiO4)3,1,1,1,0.2473345404166682,0.2473345404166682,0.2473345404166682,0.0,0.2473345404166682,0.0,0.0,0,not_mixed,0,1,1,False
Ba12FeSi3S20,1,1,1,0.0208507244444424,0.0208507244444424,0.0208507244444424,0.0,0.0208507244444424,0.0,0.0,0,not_mixed,0,1,1,False
Ba3NbFe3(SiO7)2,1,1,1,0.0057132639493069,0.0057132639493069,0.0057132639493069,0.0,0.0057132639493069,0.0,0.0,0,not_mixed,1,0,1,False
Ba3TaFe3(SiO7)2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,not_mixed,1,0,1,False
Ba4Fe12Si8ClO35,1,1,1,0.0360044772083227,0.0360044772083227,0.0360044772083227,0.0,0.0360044772083227,0.0,0.0,0,not_mixed,0,1,1,False
BaFe2Si2O7,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,not_mixed,0,1,1,False
BaFe3Si4SO11,1,1,1,0.1385632597083308,0.1385632597083308,0.1385632597083308,0.0,0.1385632597083308,0.0,0.0,0,not_mixed,0,1,1,False
BaMn2FeSi2O9,1,1,1,0.0264181267499985,0.0264181267499985,0.0264181267499985,0.0,0.0264181267499985,0.0,0.0,0,not_mixed,1,0,1,False
Be3Fe2(SiO4)3,1,1,1,0.1401003382499954,0.1401003382499954,0.1401003382499954,0.0,0.1401003382499954,0.0,0.0,0,not_mixed,0,1,1,False
Be3Fe4Si3SeO12,1,1,1,0.1934642854347839,0.1934642854347839,0.1934642854347839,0.0,0.1934642854347839,0.0,0.0,0,not_mixed,1,0,1,False
BeFe2Si,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,not_mixed,0,1,1,False
Ca(FeSi)2,1,1,1,0.0099418238749997,0.0099418238749997,0.0099418238749997,0.0,0.0099418238749997,0.0,0.0,0,not_mixed,1,0,1,False
Ca2Fe2(SiO3)5,1,1,1,0.0583043946527865,0.0583043946527865,0.0583043946527865,0.0,0.0583043946527865,0.0,0.0,0,not_mixed,0,1,1,False
Ca2Fe2(SiO4)3,1,1,1,0.107472722938601,0.107472722938601,0.107472722938601,0.0,0.107472722938601,0.0,0.0,0,not_mixed,0,1,1,False
Ca2Fe2Si5HO15,1,1,1,0.006141294649975,0.006141294649975,0.006141294649975,0.0,0.006141294649975,0.0,0.0,0,not_mixed,1,0,1,False
Ca2Fe3Si3O14,1,1,1,0.1069662645833364,0.1069662645833364,0.1069662645833364,0.0,0.1069662645833364,0.0,0.0,0,not_mixed,1,0,1,False
Ca2MgFe(SiO3)4,1,1,1,0.0053179591250041,0.0053179591250041,0.0053179591250041,0.0,0.0053179591250041,0.0,0.0,0,not_mixed,0,1,1,False
