zip_file,internal_csv_path,file_name,file_type,uncompressed_size_bytes,compressed_size_bytes,crc32,filename_stem,cell_id,source,chemistry,form_factor,temperature_C,soc_min_pct,soc_max_pct,soc_window,charge_c_rate,discharge_c_rate,protocol_label,metadata_parse_status,metadata_parse_message
Michigan Formation.zip,Michigan Formation/MICH_BLForm11_pouch_NMC_25C_0-100_1-1C_a_cycle_data.csv,MICH_BLForm11_pouch_NMC_25C_0-100_1-1C_a_cycle_data.csv,cycle_data,28477,8911,7bea84d4,MICH_BLForm11_pouch_NMC_25C_0-100_1-1C_a,MICH_BLForm11,Michigan Formation,NMC,pouch,25.0,0.0,100.0,0-100,1.0,1.0,NMC|pouch|25C|0-100|1-1C,parsed,
Michigan Formation.zip,Michigan Formation/MICH_BLForm12_pouch_NMC_25C_0-100_1-1C_b_cycle_data.csv,MICH_BLForm12_pouch_NMC_25C_0-100_1-1C_b_cycle_data.csv,cycle_data,29026,9047,78ad34ca,MICH_BLForm12_pouch_NMC_25C_0-100_1-1C_b,MICH_BLForm12,Michigan Formation,NMC,pouch,25.0,0.0,100.0,0-100,1.0,1.0,NMC|pouch|25C|0-100|1-1C,parsed,
Michigan Formation.zip,Michigan Formation/MICH_BLForm13_pouch_NMC_25C_0-100_1-1C_c_cycle_data.csv,MICH_BLForm13_pouch_NMC_25C_0-100_1-1C_c_cycle_data.csv,cycle_data,29344,9164,519d8e9a,MICH_BLForm13_pouch_NMC_25C_0-100_1-1C_c,MICH_BLForm13,Michigan Formation,NMC,pouch,25.0,0.0,100.0,0-100,1.0,1.0,NMC|pouch|25C|0-100|1-1C,parsed,
Michigan Formation.zip,Michigan Formation/MICH_BLForm14_pouch_NMC_25C_0-100_1-1C_d_cycle_data.csv,MICH_BLForm14_pouch_NMC_25C_0-100_1-1C_d_cycle_data.csv,cycle_data,32039,9992,e16b2809,MICH_BLForm14_pouch_NMC_25C_0-100_1-1C_d,MICH_BLForm14,Michigan Formation,NMC,pouch,25.0,0.0,100.0,0-100,1.0,1.0,NMC|pouch|25C|0-100|1-1C,parsed,
Michigan Formation.zip,Michigan Formation/MICH_BLForm15_pouch_NMC_25C_0-100_1-1C_e_cycle_data.csv,MICH_BLForm15_pouch_NMC_25C_0-100_1-1C_e_cycle_data.csv,cycle_data,29707,9260,0df3172a,MICH_BLForm15_pouch_NMC_25C_0-100_1-1C_e,MICH_BLForm15,Michigan Formation,NMC,pouch,25.0,0.0,100.0,0-100,1.0,1.0,NMC|pouch|25C|0-100|1-1C,parsed,
Michigan Formation.zip,Michigan Formation/MICH_BLForm16_pouch_NMC_25C_0-100_1-1C_f_cycle_data.csv,MICH_BLForm16_pouch_NMC_25C_0-100_1-1C_f_cycle_data.csv,cycle_data,29678,9221,677c04b5,MICH_BLForm16_pouch_NMC_25C_0-100_1-1C_f,MICH_BLForm16,Michigan Formation,NMC,pouch,25.0,0.0,100.0,0-100,1.0,1.0,NMC|pouch|25C|0-100|1-1C,parsed,
Michigan Formation.zip,Michigan Formation/MICH_BLForm17_pouch_NMC_25C_0-100_1-1C_g_cycle_data.csv,MICH_BLForm17_pouch_NMC_25C_0-100_1-1C_g_cycle_data.csv,cycle_data,29768,9354,fdc90e49,MICH_BLForm17_pouch_NMC_25C_0-100_1-1C_g,MICH_BLForm17,Michigan Formation,NMC,pouch,25.0,0.0,100.0,0-100,1.0,1.0,NMC|pouch|25C|0-100|1-1C,parsed,
Michigan Formation.zip,Michigan Formation/MICH_BLForm18_pouch_NMC_25C_0-100_1-1C_h_cycle_data.csv,MICH_BLForm18_pouch_NMC_25C_0-100_1-1C_h_cycle_data.csv,cycle_data,29399,9200,020d2a09,MICH_BLForm18_pouch_NMC_25C_0-100_1-1C_h,MICH_BLForm18,Michigan Formation,NMC,pouch,25.0,0.0,100.0,0-100,1.0,1.0,NMC|pouch|25C|0-100|1-1C,parsed,
Michigan Formation.zip,Michigan Formation/MICH_BLForm19_pouch_NMC_25C_0-100_1-1C_i_cycle_data.csv,MICH_BLForm19_pouch_NMC_25C_0-100_1-1C_i_cycle_data.csv,cycle_data,29734,9400,af9829e3,MICH_BLForm19_pouch_NMC_25C_0-100_1-1C_i,MICH_BLForm19,Michigan Formation,NMC,pouch,25.0,0.0,100.0,0-100,1.0,1.0,NMC|pouch|25C|0-100|1-1C,parsed,
Michigan Formation.zip,Michigan Formation/MICH_BLForm1_pouch_NMC_45C_0-100_1-1C_a_cycle_data.csv,MICH_BLForm1_pouch_NMC_45C_0-100_1-1C_a_cycle_data.csv,cycle_data,32984,10319,0a120761,MICH_BLForm1_pouch_NMC_45C_0-100_1-1C_a,MICH_BLForm1,Michigan Formation,NMC,pouch,45.0,0.0,100.0,0-100,1.0,1.0,NMC|pouch|45C|0-100|1-1C,parsed,
