split_strategy,model_variant,stratum_type,stratum_value,row_count,coverage,mae,median_absolute_error,rmse,bias,spearman,negative_prediction_rate
random,dummy_median,chemical_system_novelty,chemical_system_seen,1513,0.9005952380952381,0.10019657545020923,0.0415953853050604,0.3924508423076922,-0.06534275985498547,-0.07901539356554213,0.0
random,dummy_median,chemical_system_novelty,chemical_system_unseen,167,0.0994047619047619,0.08183291987466361,0.0456995564409736,0.256759679764178,-0.045617376564173966,-0.11905048359544045,0.0
random,histogram_gradient_boosting_log1p,chemical_system_novelty,chemical_system_seen,1513,0.9005952380952381,0.10112847627128731,0.0302739680116187,0.3744270817135538,-0.016530847981704132,0.5275294222186087,0.0449438202247191
random,histogram_gradient_boosting_log1p,chemical_system_novelty,chemical_system_unseen,167,0.0994047619047619,0.07957432737291277,0.0476007459493902,0.25626911170936956,-0.011126852921751976,0.5036064440161734,0.08383233532934131
random,histogram_gradient_boosting_raw,chemical_system_novelty,chemical_system_seen,1513,0.9005952380952381,0.11704128425913746,0.0335995247920451,0.387014481926769,0.0061385264069293965,0.46342150347277206,0.07072042300066093
random,histogram_gradient_boosting_raw,chemical_system_novelty,chemical_system_unseen,167,0.0994047619047619,0.09730806925801844,0.0593114049999998,0.2654469124982942,0.002957749421095973,0.36280833765495024,0.05389221556886228
random,ridge_log1p,chemical_system_novelty,chemical_system_seen,1513,0.9005952380952381,0.11208324086443865,0.0568128021900986,0.38376048936026247,-0.020469415109893547,0.36883432958320334,0.026437541308658295
random,ridge_log1p,chemical_system_novelty,chemical_system_unseen,167,0.0994047619047619,0.08721718110619994,0.0474669919628316,0.25659992653839336,-0.011018518480452969,0.3664569689790997,0.15568862275449102
random,ridge_raw,chemical_system_novelty,chemical_system_seen,1513,0.9005952380952381,0.13852360458500917,0.0800678825387841,0.386496934538632,0.010091058927807749,0.2938739273571564,0.06411103767349637
random,ridge_raw,chemical_system_novelty,chemical_system_unseen,167,0.0994047619047619,0.10082749536266429,0.0642387754994532,0.26563743956384894,0.0024863038747601827,0.314039897264645,0.23952095808383234
reduced_formula_group,dummy_median,chemical_system_novelty,chemical_system_seen,1406,0.8434313137372526,0.11233995351164924,0.039033455251933746,0.4894724951147484,-0.07961522268803863,-0.09525828846588735,0.0
reduced_formula_group,dummy_median,chemical_system_novelty,chemical_system_unseen,261,0.15656868626274745,0.08253820070403363,0.0440909021245357,0.14610941618022297,-0.052671033602167176,0.00622880412328695,0.0
reduced_formula_group,histogram_gradient_boosting_log1p,chemical_system_novelty,chemical_system_seen,1406,0.8434313137372526,0.10907219750646545,0.0313384338972464,0.4821602503486173,-0.050998093065875695,0.45922752727522687,0.05405405405405406
reduced_formula_group,histogram_gradient_boosting_log1p,chemical_system_novelty,chemical_system_unseen,261,0.15656868626274745,0.08025856450789016,0.0513458274172026,0.1288749918898353,-0.0063904630622687005,0.4604179282102653,0.05747126436781609
reduced_formula_group,histogram_gradient_boosting_raw,chemical_system_novelty,chemical_system_seen,1406,0.8434313137372526,0.12236248316164877,0.0414786365909571,0.48142920534259354,-0.038453548240050796,0.39259222282348893,0.06827880512091039
reduced_formula_group,histogram_gradient_boosting_raw,chemical_system_novelty,chemical_system_unseen,261,0.15656868626274745,0.09104815976652458,0.0623126677536672,0.13596422658344284,0.00814743600716695,0.3858463879677133,0.07279693486590039
